agency,calendar_year,amount,sub_type_name,rev_type,sub_type
IFAD,2018,217842469,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
IFAD,2018,1429000,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
IFAD,2018,91893000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
IFAD,2018,59662000,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
IFAD,2018,64393000,Revenue from other activities,Revenue from other activities,R04
IFAD,2018,8103791,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNEP,2018,246960551.4,Assessed contributions,Assessed contributions,R01
UNEP,2018,69649474.6,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNEP,2018,12194029,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNEP,2018,148986429,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
UNEP,2018,260545625,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNEP,2018,3413310.05,Revenue from other activities,Revenue from other activities,R04
UNESCO,2018,336171018,Assessed contributions,Assessed contributions,R01
UNESCO,2018,4567564,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNESCO,2018,6101410,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
UNESCO,2018,28054589,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNESCO,2018,246286911,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNESCO,2018,11724485,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNESCO,2018,50924109,Revenue from other activities,Revenue from other activities,R04
UNOPS,2018,942476159,Revenue from other activities,Revenue from other activities,R04
UNWOMEN,2018,32942062.29,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNWOMEN,2018,12391000,Revenue from other activities,Revenue from other activities,R04
UNWOMEN,2018,8032000,Assessed contributions,Assessed contributions,R01
UNWOMEN,2018,147660004,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNWOMEN,2018,1371348.15,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
UNWOMEN,2018,16671619.83,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UNWOMEN,2018,1031268.65,Local resources,Voluntary non-core (earmarked) contributions,R03D
